time,total_memory(M),swap_memory(M),java_heap(M),native_heap(M),code(M),stack(M),graphics(M),private_other(M),system(M)
1706942202,164.85,0.0,24.98,37.18,33.19,0.06,0.0,42.11,27.34
1706942203,233.06,0.0,18.43,50.36,88.5,0.07,0.0,52.98,22.71
1706942205,258.43,0.0,28.88,50.79,94.31,0.07,0.0,61.23,23.15
1706942206,273.26,0.0,26.66,67.6,93.67,0.07,0.0,62.21,23.05
1706942207,266.13,0.0,19.79,67.35,93.64,0.07,0.0,62.24,23.04
1706942208,265.95,0.0,20.03,67.33,93.25,0.07,0.0,62.25,23.02
1706942209,263.51,0.0,18.91,67.28,91.8,0.07,0.0,62.24,23.21
1706942210,265.78,0.0,23.3,67.47,88.91,0.07,0.0,62.58,23.45
1706942211,262.82,0.0,21.87,68.79,87.65,0.07,0.0,61.32,23.12
1706942212,259.83,0.0,19.7,68.65,87.54,0.07,0.0,61.02,22.85
1706942214,273.07,0.0,20.59,72.96,90.43,0.07,0.0,66.32,22.69
1706942215,273.52,0.0,22.84,69.8,91.67,0.07,0.0,66.36,22.77
1706942216,267.95,0.0,22.12,69.43,87.24,0.07,0.0,66.36,22.73
1706942217,264.07,0.0,19.73,68.54,86.79,0.07,0.0,66.3,22.65
1706942218,263.84,0.0,19.48,68.54,86.79,0.07,0.0,66.3,22.67
1706942219,263.17,0.0,19.5,68.52,86.24,0.07,0.0,66.27,22.57
1706942220,262.56,0.0,19.24,68.52,85.98,0.07,0.0,66.2,22.55
