time,handle_nums(个),threads(个),voluntary_ctxt_switches(次),nonvoluntary_ctxt_switches(次)
1706942202,512,272,4759,371
1706942203,512,306,6486,495
1706942204,512,312,7025,593
1706942205,512,315,7328,720
1706942206,512,316,7435,753
1706942207,512,317,7501,753
1706942208,512,317,7565,754
1706942209,512,317,7628,767
1706942210,512,318,7785,769
1706942211,512,318,7858,769
1706942212,512,318,7927,769
1706942214,512,321,8021,771
1706942215,512,323,8090,784
1706942216,512,325,8176,804
1706942217,512,325,8236,827
1706942218,512,325,8293,838
1706942219,512,325,8338,838
1706942220,512,325,8392,845
1706942221,512,325,8464,860
